TAXON_ORDER,ENAME,CNAME
5627,Northern Lapwing,小辮鴴
5653,Gray-headed Lapwing,跳鴴
5678,Lesser Sand-Plover,蒙古鴴
5686,Greater Sand-Plover,鐵嘴鴴
5701,Kentish Plover,東方環頸鴴
5717,Common Ringed Plover,環頸鴴
5722,Long-billed Plover,劍鴴
5725,Little Ringed Plover,小環頸鴴
5747,Oriental Plover,東方紅胸鴴
5774,Greater Painted-Snipe,彩鷸
5784,Pheasant-tailed Jacana,水雉
5803,Whimbrel,中杓鷸
5809,Little Curlew,小杓鷸
5814,Far Eastern Curlew,黦鷸
5816,Eurasian Curlew,大杓鷸
5822,Bar-tailed Godwit,斑尾鷸
5827,Black-tailed Godwit,黑尾鷸
5836,Ruddy Turnstone,翻石鷸
5844,Great Knot,大濱鷸
5845,Red Knot,紅腹濱鷸
5855,Ruff,流蘇鷸
5856,Broad-billed Sandpiper,寬嘴鷸
5859,Sharp-tailed Sandpiper,尖尾濱鷸
5860,Stilt Sandpiper,高蹺濱鷸
5861,Curlew Sandpiper,彎嘴濱鷸
5862,Temminck's Stint,丹氏濱鷸
5863,Long-toed Stint,長趾濱鷸
5864,Spoon-billed Sandpiper,琵嘴鷸
5865,Red-necked Stint,紅胸濱鷸
5866,Sanderling,三趾濱鷸
5867,Dunlin,黑腹濱鷸
5890,Little Stint,小濱鷸
5895,Buff-breasted Sandpiper,黃胸鷸
5897,Pectoral Sandpiper,美洲尖尾濱鷸
5901,Western Sandpiper,西濱鷸
5905,Asian Dowitcher,半蹼鷸
5910,Long-billed Dowitcher,長嘴半蹼鷸
5912,Jack Snipe,小鷸
5913,Eurasian Woodcock,山鷸
5932,Solitary Snipe,孤田鷸
5935,Latham's Snipe,大地鷸
5938,Common Snipe,田鷸
5950,Pin-tailed Snipe,針尾鷸
5952,Swinhoe's Snipe,中地鷸
5963,Terek Sandpiper,反嘴鷸
5965,Red-necked Phalarope,紅領瓣足鷸
5966,Red Phalarope,灰瓣足鷸
5969,Common Sandpiper,磯鷸
5972,Green Sandpiper,白腰草鷸
5976,Gray-tailed Tattler,黃足鷸
5977,Wandering Tattler,美洲黃足鷸
5979,Spotted Redshank,鶴鷸
5981,Common Greenshank,青足鷸
5982,Nordmann's Greenshank,諾氏鷸
5987,Lesser Yellowlegs,小黃腳鷸
5989,Marsh Sandpiper,小青足鷸
5990,Wood Sandpiper,鷹斑鷸
5991,Common Redshank,赤足鷸
6001,Small Buttonquail,林三趾鶉
6028,Yellow-legged Buttonquail,黃腳三趾鶉
6034,Barred Buttonquail,棕三趾鶉
6099,Oriental Pratincole,燕鴴
6113,South Polar Skua,灰賊鷗
6119,Pomarine Jaeger,中賊鷗
6120,Parasitic Jaeger,短尾賊鷗
6122,Long-tailed Jaeger,長尾賊鷗
6132,Common Murre,崖海鴉
6174,Ancient Murrelet,扁嘴海雀
6177,Japanese Murrelet,冠海雀
6197,Black-legged Kittiwake,三趾鷗
6203,Sabine's Gull,叉尾鷗
6208,Saunders's Gull,黑嘴鷗
6209,Slender-billed Gull,細嘴鷗
6226,Black-headed Gull,紅嘴鷗
6228,Brown-headed Gull,棕頭鷗
6231,Little Gull,小鷗
6235,Laughing Gull,笑鷗
6238,Franklin's Gull,弗氏鷗
6245,Relict Gull,遺鷗
6248,Pallas's Gull,漁鷗
6252,Black-tailed Gull,黑尾鷗
6257,Mew Gull,海鷗
6275,Herring Gull,銀鷗
6288,Caspian Gull,裏海銀鷗
6302,Lesser Black-backed Gull,小黑背鷗
6313,Slaty-backed Gull,灰背鷗
6321,Glaucous Gull,北極鷗
6342,Brown Noddy,玄燕鷗
6348,Black Noddy,黑玄燕鷗
6378,Sooty Tern,烏領燕鷗
6388,Bridled Tern,白眉燕鷗
6396,Aleutian Tern,白腰燕鷗
6397,Little Tern,小燕鷗
6424,Gull-billed Tern,鷗嘴燕鷗
6432,Caspian Tern,裏海燕鷗
6434,Black Tern,黑浮鷗
6437,White-winged Tern,白翅黑燕鷗
6438,Whiskered Tern,黑腹燕鷗
