TAXON_ORDER,ENAME,CNAME
28455,White-capped Redstart,白頂溪鴝
28467,Black Redstart,赭紅尾鴝
28479,Daurian Redstart,黃尾鴝
28487,White-throated Rock-Thrush,白喉磯鶇
28501,Blue Rock-Thrush,藍磯鶇
28524,Siberian Stonechat,黑喉鴝
28555,Pied Bushchat,白斑黑石䳭
28573,Gray Bushchat,灰叢鴝
28629,Northern Wheatear,穗䳭
28642,Isabelline Wheatear,沙䳭
28645,Desert Wheatear,漠䳭
28650,Pied Wheatear,白頂䳭
28726,Bohemian Waxwing,黃連雀
28732,Japanese Waxwing,朱連雀
28864,Plain Flowerpecker,綠啄花
28914,Fire-breasted Flowerpecker,紅胸啄花
29270,Olive-backed Sunbird,黃腹花蜜鳥
29335,Mrs. Gould's Sunbird,藍喉太陽鳥
29376,Fork-tailed Sunbird,叉尾太陽鳥
29477,Blue-winged Leafbird,藍翅葉鵯
29490,Golden-fronted Leafbird,金額葉鵯
29499,Orange-bellied Leafbird,橙腹葉鵯
29608,African Golden-Weaver,非洲金織雀
29651,Village Weaver,黑頭織雀
29880,Orange-cheeked Waxbill,橙頰梅花雀
29886,Common Waxbill,橫斑梅花雀
30013,Red Avadavat,紅梅花雀
30126,Indian Silverbill,白喉文鳥
30131,White-rumped Munia,白腰文鳥
30145,Scaly-breasted Munia,斑文鳥
30178,Chestnut Munia,黑頭文鳥
30193,White-headed Munia,白頭文鳥
30236,Java Sparrow,爪哇雀
30241,Pin-tailed Whydah,針尾維達雀
30277,Alpine Accentor,岩鷚
30294,Siberian Accentor,棕眉山岩鷚
30329,House Sparrow,家麻雀
30357,Russet Sparrow,山麻雀
30395,Eurasian Tree Sparrow,麻雀
30457,Forest Wagtail,山鶺鴒
30468,Gray Wagtail,灰鶺鴒
30472,Western Yellow Wagtail,西方黃鶺鴒
30490,Eastern Yellow Wagtail,東方黃鶺鴒
30497,Citrine Wagtail,黃頭鶺鴒
30505,Japanese Wagtail,日本鶺鴒
30509,White Wagtail,白鶺鴒
30536,Richard's Pipit,大花鷚
30596,Blyth's Pipit,布萊氏鷚
30638,Meadow Pipit,草地鷚
30641,Rosy Pipit,粉紅胸鷚
30642,Tree Pipit,林鷚
30646,Olive-backed Pipit,樹鷚
30650,Pechora Pipit,白背鷚
30655,Red-throated Pipit,赤喉鷚
30656,Water Pipit,水鷚
30667,American Pipit,黃腹鷚
30754,Brambling,花雀
30873,Hawfinch,臘嘴雀
30879,Yellow-billed Grosbeak,小桑鳲
30882,Japanese Grosbeak,桑鳲
30928,Common Rosefinch,普通朱雀
30955,Taiwan Rosefinch,台灣朱雀
30986,Pallas's Rosefinch,北朱雀
31010,Brown Bullfinch,褐鷽
31022,Gray-headed Bullfinch,灰鷽
31028,Eurasian Bullfinch,歐亞鷽
31116,Oriental Greenfinch,金翅雀
31138,Yellow-fronted Canary,黃額絲雀
31254,Common Redpoll,普通朱頂雀
31269,Red Crossbill,紅交嘴雀
31360,Eurasian Siskin,黃雀
31423,Lapland Longspur,鐵爪鵐
31431,Snow Bunting,雪鵐
31451,Crested Bunting,冠鵐
31452,Black-headed Bunting,黑頭鵐
31453,Red-headed Bunting,褐頭鵐
31457,Chestnut-eared Bunting,赤胸鵐
31476,Meadow Bunting,草鵐
31485,White-capped Bunting,白頂鵐
31490,Pine Bunting,白頭鵐
31544,Yellow-throated Bunting,黃喉鵐
31548,Ochre-rumped Bunting,紅頸葦鵐
31551,Pallas's Bunting,葦鵐
31555,Reed Bunting,蘆鵐
31572,Yellow-breasted Bunting,金鵐
31575,Little Bunting,小鵐
31576,Rustic Bunting,田鵐
31579,Yellow Bunting,野鵐
31580,Black-faced Bunting,黑臉鵐
31585,Chestnut Bunting,銹鵐
31586,Yellow-browed Bunting,黃眉鵐
31587,Tristram's Bunting,白眉鵐
31588,Gray Bunting,灰鵐
33306,Red-crested Cardinal,紅冠唐納雀
